year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd,status,transferred,overseas,sold_price_in_cr,sold_price
2017,Kings XI Punjab,52.1 cr,13.9 cr,532856,Manan Vohra,Manan Vohra,,BAT,400,597000,Retained,FALSE,FALSE,4,40000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,537119,Mohit Sharma,Mohit Sharma,,BOW,650,970000,Retained,FALSE,FALSE,6.5,65000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,537124,Gurkeerat Singh,Gurkeerat Singh,,BAT,130,194000,Retained,FALSE,FALSE,1.3,13000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,554691,Axar Patel,Axar Patel,,AR,75,111000,Retained,FALSE,FALSE,0.75,7500000
2017,Kings XI Punjab,52.1 cr,13.9 cr,554700,Nikhil Naik,Nikhil Naik,,WK,30,44000,Retained,FALSE,FALSE,0.3,3000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,6683,Shaun Marsh,Shaun Marsh,,BAT,220,328000,Retained,FALSE,TRUE,2.2,22000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,777537,KC Cariappa,KC Cariappa,,BOW,80,119000,Retained,FALSE,FALSE,0.8,8000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,960369,Armaan Jaffer,Armaan Jaffer,,BAT,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,277662,Corey Anderson,Corey Anderson,,AR,100,149000,New,FALSE,TRUE,1,10000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,327123,Ankit Bawne,Ankit Bawne,,BAT,10,14000,New,FALSE,FALSE,0.1,1000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,333904,Aditya Tare,Aditya Tare,,WK,25,37000,New,FALSE,FALSE,0.25,2500000
2017,Delhi Daredevils,56.95 cr,9.05 cr,377534,Shashank Singh,Shashank Singh,,AR,10,14000,New,FALSE,FALSE,0.1,1000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,489889,Pat Cummins,Pat Cummins,,BOW,450,671000,New,FALSE,TRUE,4.5,45000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,49764,Angelo Mathews,Angelo Mathews,,AR,200,298000,New,FALSE,TRUE,2,20000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,528067,M Ashwin,M Ashwin,,BOW,100,149000,New,FALSE,FALSE,1,10000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,550215,Kagiso Rabada,Kagiso Rabada,,BOW,500,746000,New,FALSE,TRUE,5,50000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,700167,Navdeep Saini,Navdeep Saini,,BOW,10,14000,New,FALSE,FALSE,0.1,1000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,297628,Sam Billings,Sam Billings,,WK,30,44000,Retained,FALSE,TRUE,0.3,3000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,30102,Zaheer Khan,Zaheer Khan,,BOW,400,597000,Retained,FALSE,FALSE,4,40000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,31107,Amit Mishra,Amit Mishra,,BOW,350,522000,Retained,FALSE,FALSE,3.5,35000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,31872,Shahbaz Nadeem,Shahbaz Nadeem,,BOW,85,126000,Retained,FALSE,FALSE,0.85,8500000
2017,Delhi Daredevils,56.95 cr,9.05 cr,379143,Quinton de Kock,Quinton de Kock,,WK,350,522000,Retained,FALSE,TRUE,3.5,35000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,398439,Karun Nair,Karun Nair,,BAT,400,597000,Retained,FALSE,FALSE,4,40000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,425943,Sanju Samson,Sanju Samson,,WK,420,626000,Retained,FALSE,FALSE,4.2,42000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,439952,Chris Morris,Chris Morris,,AR,700,1044000,Retained,FALSE,TRUE,7,70000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,447587,Jayant Yadav,Jayant Yadav,,AR,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,44932,JP Duminy,JP Duminy,,BAT,220,328000,Retained,FALSE,TRUE,2.2,22000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,457249,Carlos Brathwaite,Carlos Brathwaite,,AR,420,626000,Retained,FALSE,TRUE,4.2,42000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,481896,Mohammed Shami,Mohammed Shami,,BOW,425,634000,Retained,FALSE,FALSE,4.25,42500000
2017,Delhi Daredevils,56.95 cr,9.05 cr,604616,Chama Milind,Chama Milind,,BOW,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,642519,Shreyas Iyer,Shreyas Iyer,,BAT,260,388000,Retained,FALSE,FALSE,2.6,26000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,717205,Pratyush Singh,Pratyush Singh,,BAT,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,931581,Rishabh Pant,Rishabh Pant,,WK,190,283000,Retained,FALSE,FALSE,1.9,19000000
2017,Delhi Daredevils,56.95 cr,9.05 cr,942645,Khaleel Ahmed,Khaleel Ahmed,,BOW,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Mumbai Indians,62.645 cr,3.355 cr,1083033,Kulwant Khejroliya,Kulwant Khejroliya,,BOW,10,14000,New,FALSE,FALSE,0.1,1000000
2017,Mumbai Indians,62.645 cr,3.355 cr,30288,Karn Sharma,Karn Sharma,,AR,320,477000,New,FALSE,FALSE,3.2,32000000
2017,Mumbai Indians,62.645 cr,3.355 cr,35390,Saurabh Tiwary,Saurabh Tiwary,,BAT,30,44000,New,FALSE,FALSE,0.3,3000000
2017,Mumbai Indians,62.645 cr,3.355 cr,360456,Asela Gunaratne,Asela Gunaratne,,BAT,30,44000,New,FALSE,TRUE,0.3,3000000
2017,Mumbai Indians,62.645 cr,3.355 cr,424377,K Gowtham,K Gowtham,,AR,200,298000,New,FALSE,FALSE,2,20000000
2017,Mumbai Indians,62.645 cr,3.355 cr,6033,Mitchell Johnson,Mitchell Johnson,,BOW,200,298000,New,FALSE,TRUE,2,20000000
2017,Mumbai Indians,62.645 cr,3.355 cr,604302,Nicholas Pooran,Nicholas Pooran,,WK,30,44000,New,FALSE,TRUE,0.3,3000000
2017,Mumbai Indians,62.645 cr,3.355 cr,230559,Kieron Pollard,Kieron Pollard,,AR,950,1417000,Retained,FALSE,TRUE,9.5,95000000
2017,Mumbai Indians,62.645 cr,3.355 cr,232364,Tim Southee,Tim Southee,,BOW,250,373000,Retained,FALSE,TRUE,2.5,25000000
2017,Mumbai Indians,62.645 cr,3.355 cr,29264,Harbhajan Singh,Harbhajan Singh,,BOW,550,820000,Retained,FALSE,FALSE,5.5,55000000
2017,Mumbai Indians,62.645 cr,3.355 cr,308967,Jos Buttler,Jos Buttler,,WK,380,567000,Retained,FALSE,TRUE,3.8,38000000
2017,Mumbai Indians,62.645 cr,3.355 cr,319439,Mitchell McClenaghan,Mitchell McClenaghan,,BOW,30,44000,Retained,FALSE,TRUE,0.3,3000000
2017,Mumbai Indians,62.645 cr,3.355 cr,32242,Parthiv Patel,Parthiv Patel,,WK,140,208000,Retained,FALSE,FALSE,1.4,14000000
2017,Mumbai Indians,62.645 cr,3.355 cr,33141,Ambati Rayudu,Ambati Rayudu,,BAT,400,597000,Retained,FALSE,FALSE,4,40000000
2017,Mumbai Indians,62.645 cr,3.355 cr,34102,Rohit Sharma,Rohit Sharma,,BAT,1250,1865000,Retained,FALSE,FALSE,12.5,125000000
2017,Mumbai Indians,62.645 cr,3.355 cr,344580,Shreyas Gopal,Shreyas Gopal,,BOW,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Mumbai Indians,62.645 cr,3.355 cr,35731,Vinay Kumar,Vinay Kumar,,BOW,299,447000,Retained,FALSE,FALSE,2.99,29900000
2017,Mumbai Indians,62.645 cr,3.355 cr,422342,Siddhesh Lad,Siddhesh Lad,,BAT,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Mumbai Indians,62.645 cr,3.355 cr,471342,Krunal Pandya,Krunal Pandya,,AR,200,298000,Retained,FALSE,FALSE,2,20000000
2017,Mumbai Indians,62.645 cr,3.355 cr,49758,Lasith Malinga,Lasith Malinga,,BOW,750,1119000,Retained,FALSE,TRUE,7.5,75000000
2017,Mumbai Indians,62.645 cr,3.355 cr,527663,J Suchith,J Suchith,,AR,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Mumbai Indians,62.645 cr,3.355 cr,53116,Lendl Simmons,Lendl Simmons,,BAT,55,82000,Retained,FALSE,TRUE,0.55,5500000
2017,Mumbai Indians,62.645 cr,3.355 cr,604527,Nitish Rana,Nitish Rana,,BAT,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Mumbai Indians,62.645 cr,3.355 cr,625371,Hardik Pandya,Hardik Pandya,,AR,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Mumbai Indians,62.645 cr,3.355 cr,625383,Jasprit Bumrah,Jasprit Bumrah,,BOW,120,179000,Retained,FALSE,FALSE,1.2,12000000
2017,Mumbai Indians,62.645 cr,3.355 cr,721867,Jitesh Sharma,Jitesh Sharma,,WK,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Mumbai Indians,62.645 cr,3.355 cr,807791,Deepak Punia,Deepak Punia,,AR,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,25913,Mohammad Nabi,Mohammad Nabi,,AR,30,44000,New,FALSE,TRUE,0.3,3000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,288992,Chris Jordan,Chris Jordan,,AR,50,74000,New,FALSE,TRUE,0.5,5000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,315623,Ben Laughlin,Ben Laughlin,,BOW,30,44000,New,FALSE,TRUE,0.3,3000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,340841,Eklavya Dwivedi,Eklavya Dwivedi,,WK,75,111000,New,FALSE,FALSE,0.75,7500000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,587152,Pravin Tambe,Pravin Tambe,,BOW,10,14000,New,FALSE,FALSE,0.1,1000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,792725,Tanmay Agarwal,Tanmay Agarwal,,BAT,10,14000,New,FALSE,FALSE,0.1,1000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,793463,Rashid Khan,Rashid Khan,,BOW,400,597000,New,FALSE,TRUE,4,40000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,940973,Mohammed Siraj,Mohammed Siraj,,BOW,260,388000,New,FALSE,FALSE,2.6,26000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,219889,David Warner,David Warner,,BAT,550,820000,Retained,FALSE,TRUE,5.5,55000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,230371,Ben Cutting,Ben Cutting,,AR,50,74000,Retained,FALSE,TRUE,0.5,5000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,277906,Kane Williamson,Kane Williamson,,BAT,60,89000,Retained,FALSE,TRUE,0.6,6000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,28235,Shikhar Dhawan,Shikhar Dhawan,,BAT,1250,1865000,Retained,FALSE,FALSE,12.5,125000000
