year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,country,type,cost_inr_lakh,cost_usd,status,transferred,overseas,sold_price,sold_price_in_cr
2014,Chennai Super Kings,598000000,2000000,44828,F du Plessis,F du Plessis,,SA,BAT,475,791000,RTM,FALSE,TRUE,47500000,4.75
2014,Chennai Super Kings,598000000,2000000,53118,DR Smith,DR Smith,,WI,BAT,450,750000,New,FALSE,TRUE,45000000,4.5
2014,Chennai Super Kings,598000000,2000000,37737,BB McCullum,BB McCullum,,NZ,BAT/WK,325,541000,New,FALSE,TRUE,32500000,3.25
2014,Chennai Super Kings,598000000,2000000,537119,MM Sharma,MM Sharma,,IND,BOW,200,333000,New,FALSE,FALSE,20000000,2
2014,Chennai Super Kings,598000000,2000000,31820,A Nehra,A Nehra,,IND,BOW,200,333000,New,FALSE,FALSE,20000000,2
2014,Chennai Super Kings,598000000,2000000,447439,IC Pandey,IC Pandey,,IND,BOW,150,250000,New,FALSE,FALSE,15000000,1.5
2014,Chennai Super Kings,598000000,2000000,5941,BW Hilfenhaus,BW Hilfenhaus,,AUS,BOW,100,166000,New,FALSE,TRUE,10000000,1
2014,Chennai Super Kings,598000000,2000000,228622,JW Hastings,JW Hastings,,AUS,AR,50,83000,New,FALSE,TRUE,5000000,0.5
2014,Chennai Super Kings,598000000,2000000,51433,S Badree,S Badree,,WI,BOW,30,50000,New,FALSE,TRUE,3000000,0.3
2014,Chennai Super Kings,598000000,2000000,506612,MJ Henry,MJ Henry,,NZ,BOW,30,50000,New,FALSE,TRUE,3000000,0.3
2014,Chennai Super Kings,598000000,2000000,31001,M Manhas,M Manhas,,IND,AR,30,50000,New,FALSE,FALSE,3000000,0.3
2014,Chennai Super Kings,598000000,2000000,424219,RG More,RG More,,IND,BOW,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Chennai Super Kings,598000000,2000000,477021,V Shankar,V Shankar,,IND,AR,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Chennai Super Kings,598000000,2000000,477071,B Aparajith,B Aparajith,,IND,BAT,10,16000,New,FALSE,FALSE,1000000,0.1
