year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd,,,status,transferred,overseas,sold_price_in_cr,sold_price
2021,Punjab Kings,66.20 cr,18.80 cr,670013,Fabian Allen,Fabian Allen,,AR,75,102000,,102000000,New,FALSE,TRUE,0.75,7500000
2021,Punjab Kings,66.20 cr,18.80 cr,719719,Shahrukh Khan,Shahrukh Khan,,AR,525,719000,,719000000,New,FALSE,FALSE,5.25,52500000
2021,Punjab Kings,66.20 cr,18.80 cr,774223,Jhye Richardson,Jhye Richardson,,BOW,1400,1917000,,1917000000,New,FALSE,TRUE,14,140000000
2021,Punjab Kings,66.20 cr,18.80 cr,961713,Riley Meredith,Riley Meredith,,BOW,800,1095000,,1095000000,New,FALSE,TRUE,8,80000000
2021,Punjab Kings,66.20 cr,18.80 cr,967603,Ishan Porel,Ishan Porel,,BOW,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,1048739,R Sai Kishore,R Sai Kishore,,BOW,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,1048813,Narayan Jagadeesan,Narayan Jagadeesan,,BAT/WK,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,1048847,C Hari Nishanth,C Hari Nishanth,,BAT,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,1060380,Ruturaj Gaikwad,Ruturaj Gaikwad,,BAT,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,1083030,KM Asif,KM Asif,,BOW,40,54000,,54000000,Retained,FALSE,FALSE,0.4,4000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,1131755,Harishankar Reddy,Harishankar Reddy,,BOW,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
