year,player_id,player_name,team,sold_price,sold_price_in_cr,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr,status,transferred,overseas,base_price_in_cr,base_price,auction_result,id_source
2010,233514,Thisara Perera,Chennai Super Kings,2292625.0,0.2292625,,,,,,,,,,sold,from auction file
2010,230553,Kemar Roach,Deccan Chargers,33013800.0,3.30138,,,,,,,,,,sold,from auction file
2010,265564,Wayne Parnell,Delhi Capitals,27970025.0,2.7970025,,,,,,,,,,sold,from auction file
2010,36326,Shane Bond,Kolkata Knight Riders,34389375.0,3.4389375,,,,,,,,,,sold,from auction file
2010,230559,Kieron Pollard,Mumbai Indians,34389375.0,3.4389375,,,,,,,,,,sold,from auction file
2010,29990,Mohammad Kaif,Punjab Kings,11463125.0,1.1463125,,,,,,,,,,sold,from auction file
2010,224367,Yusuf Abdulla,Punjab Kings,2292625.0,0.2292625,,,,,,,,,,sold,from auction file
2010,8119,Adam Voges,Rajasthan Royals,2292625.0,0.2292625,,,,,,,,,,sold,from auction file
2010,6513,Damien Martyn,Rajasthan Royals,4585250.0,0.458525,,,,,,,,,,sold,from auction file
2010,24598,Eoin Morgan,Royal Challengers Bangalore,10087550.0,1.008755,,,,,,,,,,sold,from auction file
2011,46248,Albie Morkel,Chennai Super Kings,22685000.0,2.2685,,,,,,,,,,sold,from auction file
2011,5941,Ben Hilfenhaus,Chennai Super Kings,4537000.0,0.4537,,,,,,,,,,sold,from auction file
2011,4508,Doug Bollinger,Chennai Super Kings,31759000.0,3.1759,,,,,,,,,,sold,from auction file
2011,51439,Dwayne Bravo,Chennai Super Kings,9074000.0,0.9074,,,,,,,,,,sold,from auction file
2011,44828,Faf du Plessis,Chennai Super Kings,5444400.0,0.54444,,,,,,,,,,sold,from auction file
2011,4451,George Bailey,Chennai Super Kings,2268500.0,0.22685,,,,,,,,,,sold,from auction file
2011,29976,Joginder Sharma,Chennai Super Kings,6805500.0,0.68055,,,,,,,,,,sold,from auction file
2011,237095,M Vijay,Chennai Super Kings,40833000.0,4.0833,,,,,,,,,,sold,from auction file
2011,28081,MS Dhoni,Chennai Super Kings,81666000.0,8.1666,,,,,,,,,,sold,from auction file
2011,5939,Michael Hussey,Chennai Super Kings,19282250.0,1.928225,,,,,,,,,,sold,from auction file
2011,49535,Nuwan Kulasekara,Chennai Super Kings,4537000.0,0.4537,,,,,,,,,,sold,from auction file
2011,26421,R Ashwin,Chennai Super Kings,38564500.0,3.85645,,,,,,,,,,sold,from auction file
2011,26806,S Badrinath,Chennai Super Kings,38564500.0,3.85645,,,,,,,,,,sold,from auction file
2011,38407,Scott Styris,Chennai Super Kings,9074000.0,0.9074,,,,,,,,,,sold,from auction file
2011,317784,Sudeep Tyagi,Chennai Super Kings,10888800.0,1.08888,,,,,,,,,,sold,from auction file
2011,50438,Suraj Randiv,Chennai Super Kings,3629600.0,0.36296,,,,,,,,,,sold,from auction file
2011,33335,Suresh Raina,Chennai Super Kings,58981000.0,5.8981,,,,,,,,,,sold,from auction file
2011,279810,Wriddhiman Saha,Chennai Super Kings,4537000.0,0.4537,,,,,,,,,,sold,from auction file
2011,31107,Amit Mishra,Deccan Chargers,13611000.0,1.3611,,,,,,,,,,sold,from auction file
2011,8291,Cameron White,Deccan Chargers,49907000.0,4.9907,,,,,,,,,,sold,from auction file
2011,326637,Chris Lynn,Deccan Chargers,907400.0,0.09074,,,,,,,,,,sold,from auction file
2011,47492,Dale Steyn,Deccan Chargers,54444000.0,5.4444,,,,,,,,,,sold,from auction file
2011,4864,Dan Christian,Deccan Chargers,40833000.0,4.0833,,,,,,,,,,sold,from auction file
2011,236779,Ishant Sharma,Deccan Chargers,20416500.0,2.04165,,,,,,,,,,sold,from auction file
2011,44932,JP Duminy,Deccan Chargers,13611000.0,1.3611,,,,,,,,,,sold,from auction file
2011,19296,Kevin Pietersen,Deccan Chargers,29490500.0,2.94905,,,,,,,,,,sold,from auction file
2011,50710,Kumar Sangakkara,Deccan Chargers,31759000.0,3.1759,,,,,,,,,,sold,from auction file
2011,317293,Manpreet Gony,Deccan Chargers,13157300.0,1.31573,,,,,,,,,,sold,from auction file
2011,16406,Michael Lumb,Deccan Chargers,3629600.0,0.36296,,,,,,,,,,sold,from auction file
