year,player_name,player_id,base_price_in_cr,base_price,base_price_in_usd,status,id_source
2016,Abhinav Mukund,302582,0.3,3000000,,unsold,not found - add manually
2016,Doug Bracewell,362541,0.3,3000000,,unsold,name match
2016,Chris Jordan,288992,1,10000000,,unsold,name match
2016,Wayne Parnell,265564,0.5,5000000,,unsold,name match
2016,Grant Elliott,44956,0.3,3000000,,unsold,not found - add manually
2016,James Neesham,355269,0.5,5000000,,unsold,name match
2016,Sean Abbott,398666,0.5,5000000,,unsold,name match
2016,Abhishek Nayar,32091,0.3,3000000,,unsold,name match
2016,Munaf Patel,32965,0.5,5000000,,unsold,name match
2016,Beuran Hendricks,379927,0.3,3000000,,unsold,initial match
2016,Lahiru Thirimanne,301236,0.3,3000000,,unsold,not found - add manually
2016,Richard Levi,46148,0.5,5000000,,unsold,not found - add manually
2016,Cameron White,8291,1.5,15000000,,unsold,name match
2016,Tamim Iqbal,56194,0.5,5000000,,unsold,not found - add manually
2016,Marlon Samuels,52983,0.5,5000000,,unsold,not found - add manually
2016,Dean Elgar,230852,0.3,3000000,,unsold,not found - add manually
2016,Reeza Hendricks,269280,0.3,3000000,,unsold,not found - add manually
2016,Nathan McCullum,37749,0.5,5000000,,unsold,name match
2016,Jeevan Mendis,49700,0.5,5000000,,unsold,name match
2016,Vernon Philander,46945,0.5,5000000,,unsold,not found - add manually
2016,Rusty Theron,223642,0.3,3000000,,unsold,name match
2016,Shehan Jayasuriya,49209,0.3,3000000,,unsold,initial match
2016,Rayad Emrit,51784,0.3,3000000,,unsold,not found - add manually
2016,Anton Devcich,36948,0.3,3000000,,unsold,not found - add manually
2016,Johan Botha,44149,0.5,5000000,,unsold,name match
2016,Ashton Agar,505120,0.5,5000000,,unsold,not found - add manually
2016,Robin Peterson,46750,0.5,5000000,,unsold,name match
2016,Fidel Edwards,51782,0.5,5000000,,unsold,name match
2016,Jerome Taylor,53191,0.5,5000000,,unsold,name match
2016,Parvinder Awana,323131,0.3,3000000,,unsold,initial match
2016,Sudeep Tyagi,317784,0.3,3000000,,unsold,name match
2016,Shaun Tait,8076,1.5,15000000,,unsold,name match
2016,Pankaj Singh,32973,0.3,3000000,,unsold,name match
2016,Nuwan Kulasekara,49535,0.5,5000000,,unsold,name match
2016,Ben Laughlin,315623,0.3,3000000,,unsold,name match
2016,Krishmar Santokie,314622,0.3,3000000,,unsold,initial match
2016,Isuru Udana,328026,0.3,3000000,,unsold,name match
2016,Soumya Sarkar,436677,0.3,3000000,,unsold,not found - add manually
2016,Dilruwan Perera,49920,0.5,5000000,,unsold,not found - add manually
2016,Narsingh Deonarine,51659,0.3,3000000,,unsold,not found - add manually
2016,Henry Davids,44752,0.5,5000000,,unsold,not found - add manually
2016,Milinda Siriwardana,222354,0.3,3000000,,unsold,not found - add manually
2016,Dilshan Munaweera,304735,0.3,3000000,,unsold,not found - add manually
2016,Christopher Barnwell,330408,0.3,3000000,,unsold,name match
2016,Seekuge Prasanna,not found,0.3,3000000,,unsold,not found - add manually
2016,George Worker,277911,0.3,3000000,,unsold,not found - add manually
2016,Dasun Shanaka,437316,0.3,3000000,,unsold,not found - add manually
2016,Taskin Ahmed,538506,0.3,3000000,,unsold,not found - add manually
2016,Shannon Gabriel,446101,0.5,5000000,,unsold,not found - add manually
2016,Dushmantha Chameera,552152,0.3,3000000,,unsold,name match
2016,Hardus Viljoen,375126,0.3,3000000,,unsold,name match
2016,Mthokozisi Shezi,230860,1,10000000,,unsold,not found - add manually
2016,Tino Best,51436,0.3,3000000,,unsold,not found - add manually
2016,Jackson Bird,215152,0.5,5000000,,unsold,not found - add manually
2016,Mithun Manhas,31001,0.3,3000000,,unsold,initial match
2016,Ankit Bawne,327123,0.1,1000000,,unsold,name match
2016,Himanshu Rana,1312645,0.1,1000000,,unsold,initial match
2016,Debabrata Das,328163,0.1,1000000,,unsold,initial match
2016,Aiden Blizzard,4498,0.3,3000000,,unsold,name match
2016,Pinal Shah,34282,0.1,1000000,,unsold,not found - add manually
2016,CM Gautam,302208,0.2,2000000,,unsold,name match
2016,Dishank Yagnik,36071,0.1,1000000,,unsold,initial match
2016,Manvinder Bisla,27280,0.1,1000000,,unsold,initial match
2016,Padmanabhan Prasanth,32211,0.1,1000000,,unsold,name match
2016,Kevin O'Brien,24605,0.3,3000000,,unsold,not found - add manually
2016,Kevon Cooper,371814,0.3,3000000,,unsold,name match
2016,C Stephen,not found,0.1,1000000,,unsold,not found - add manually
2016,Domnic Muthuswami,528985,0.1,1000000,,unsold,not found - add manually
2016,Veer Pratap Singh,528967,0.1,1000000,,unsold,ambiguous initial
2016,Harmeet Singh,391128,0.1,1000000,,unsold,name match
2016,Aswin Crist,679595,0.1,1000000,,unsold,not found - add manually
2016,Rahul Shukla,390547,0.1,1000000,,unsold,initial match
2016,Siddharth Trivedi,856285,0.1,1000000,,unsold,initial match
2016,KK Jiyas,857781,0.1,1000000,,unsold,not found - add manually
2016,Hardik Patel,390481,0.1,1000000,,unsold,initial match
2016,Rahil Shah,477161,0.1,1000000,,unsold,not found - add manually
2016,Bharghav Bhatt,not found,0.1,1000000,,unsold,not found - add manually
2016,Karanveer Singh,322535,0.1,1000000,,unsold,name match
2016,Arun Karthik,319745,0.1,1000000,,unsold,not found - add manually
2016,Evin Lewis,431901,0.2,2000000,,unsold,name match
2016,Alex Ross,333624,0.2,2000000,,unsold,not found - add manually
2016,Apoorv Wankhade,505773,0.1,1000000,,unsold,name match
2016,Prashant Gupta,377536,0.1,1000000,,unsold,not found - add manually
2016,Rahul Tewatia,423838,0.1,1000000,,unsold,name match
2016,Rohan Prem,32486,0.1,1000000,,unsold,not found - add manually
2016,Dinesh Salunkhe,278482,0.1,1000000,,unsold,name match
2016,Ravi Jangid,323223,0.1,1000000,,unsold,not found - add manually
2016,Gurinder Singh,500164,0.1,1000000,,unsold,ambiguous initial
2016,James Pattinson,272465,1.5,15000000,,unsold,name match
2016,Pankaj Jaswal,652359,0.1,1000000,,unsold,not found - add manually
2016,Navdeep Saini,700167,0.1,1000000,,unsold,name match
2016,Saurabh Kumar,627214,0.1,1000000,,unsold,name match
2016,Rishi Arothe,642539,0.1,1000000,,unsold,not found - add manually
2016,Baltej Singh,527292,0.1,1000000,,unsold,name match
2016,Kshitiz Sharma,625380,0.1,1000000,,unsold,name match
2022,Aman Khan,1119011,0.2,2000000,,sold,already had id
2022,David Willey,308251,2,20000000,,sold,already had id
2022,Fabian Allen,670013,0.75,7500000,,sold,already had id
2022,Luvnith Sisodia,1155253,0.2,2000000,,sold,already had id
2022,Aryan Juyal,1130300,0.2,2000000,,sold,already had id
2022,B Sai Sudharsan,1151288,0.2,2000000,,sold,already had id
