year,player_name,player_id,base_price_in_cr,base_price_in_usd,status,source_text
2018,Swapnil Singh,,0.2,,unsold,Swapnil Singh (Base price INR 20 lakhs)
2018,Praveen Dubey,,0.2,,unsold,Praveen Dubey (Base price INR 20 lakhs)
2018,Anmolpreet Singh,,0.2,,unsold,Anmolpreet Singh (Base price INR 20 lakhs
2018,Tabraiz Shamsi,,0.5,,unsold,Tabraiz Shamsi (Base price INR 50 lakhs)
2018,Pragyan Ojha,,0.5,,unsold,Pragyan Ojha (Base price INR 50 lakhs)
2018,Fawad Ahmed,,0.5,,unsold,Fawad Ahmed (Base price INR 50 lakhs)
2018,Nathan Lyon,,1.5,,unsold,Nathan Lyon (Base price INR 1.5 crores)
2018,Dale Steyn,,1,,unsold,Dale Steyn (Base price INR 1 crore)
2018,Rishi Dhawan,,0.5,,unsold,Rishi Dhawan (Base price INR 50 lakhs)
2018,Moises Henriques,,1.5,,unsold,Moises Henriques (Base price INR 1.5 crores)
2018,Corey Anderson,,2,,unsold,Corey Anderson (Base price INR 2 crores)
2018,Colin Ingram,,2,,unsold,Colin Ingram (Base price INR 2 crores)
2018,Travis Head,,1.5,,unsold,Travis Head (Base price INR 1.5 crores)
2018,Lendl Simmons,,1.5,,unsold,Lendl Simmons (Base price INR 1.5 crores)
2018,Shaun Marsh,,1.5,,unsold,Shaun Marsh (Base price INR 1.5 crores)
2018,Eoin Morgan,,2,,unsold,Eoin Morgan (Base price INR 2 crores)
2018,Alex Hales,,1,,unsold,Alex Hales (Base price INR 1 crore)
2018,Shivil Kaushik,,0.2,,unsold,Shivil Kaushik (Base price INR 20 lakhs)
2018,Iqbal Abdullah,,0.3,,unsold,Iqbal Abdullah (Base price INR 30 lakhs)
2018,J Suchith,,0.2,,unsold,J Suchith (Base price INR 20 lakhs)
2018,Tejas Baroka,,0.2,,unsold,Tejas Baroka (Base price INR 20 lakhs)
2018,Sai Kishore,,0.2,,unsold,Sai Kishore (Base price INR 20 lakhs)
2018,KC Cariappa,,0.2,,unsold,KC Cariappa (Base price INR 20 lakhs)
2018,Joe Root,,1.5,,unsold,Joe Root (Base price INR 1.5 crores)
2018,Hashim Amla,,1.5,,unsold,Hashim Amla (Base price INR 1.5 crores)
2018,Martin Guptill,,0.75,,unsold,Martin Guptill (Base price INR 75 lakhs)
2018,James Faulkner,,2,,unsold,James Faulkner (Base price INR 2 crores)
2018,Jonny Bairstow,,1.5,,unsold,Jonny Bairstow (Base price INR 1.5 crores)
2018,Josh Hazlewood,,2,,unsold,Josh Hazlewood (Base price INR 2 crores)
2018,Ishant Sharma,,0.75,,unsold,Ishant Sharma (Base price INR 75 lakhs)
2018,Mitchell McClenaghan,,1,,unsold,Mitchell McClenaghan (Base price INR 1 crore)
2018,Lasith Malinga,,1,,unsold,Lasith Malinga (Base price INR 1 crore)
2018,Ish Sodhi,,0.5,,unsold,Ish Sodhi (Base price INR 50 lakhs)
2018,Samuel Badree,,1,,unsold,Samuel Badree (Base price INR 1 crore)
2018,Adam Zampa,,1,,unsold,Adam Zampa (Base price INR 1 crore)
2018,Himanshu Rana,,0.2,,unsold,Himanshu Rana (Base price INR 20 lakhs)
2018,Shivam Dubey,,0.2,,unsold,Shivam Dubey (Base price INR 20 lakhs)
2018,Jitesh Sharma,,0.2,,unsold,Jitesh Sharma (Base price INR 20 lakhs)
2018,Nikhil Naik,,0.2,,unsold,Nikhil Naik (Base price INR 20 lakhs)
2018,Ben McDermott,,0.3,,unsold,Ben McDermott (Base price INR 30 lakhs)
2018,Ankush Bains,,0.2,,unsold,Ankush Bains (Base price INR 20 lakhs)
