year,player_id,player_name,team,sold_price,sold_price_in_cr,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr
2014,44932,JP Duminy,Delhi Daredevils,22000000,2.2,,,,
2014,30045,KD Karthik,Delhi Daredevils,125000000,12.5,,,,
2014,290716,KM Jadhav,Delhi Daredevils,20000000,2.0,,,,
2014,19296,KP Pietersen,Delhi Daredevils,90000000,9.0,,,,
2014,34019,LR Shukla,Delhi Daredevils,15000000,1.5,,,,
2014,38699,LRPL Taylor,Delhi Daredevils,20000000,2.0,,,,
2014,237095,M Vijay,Delhi Daredevils,50000000,5.0,,,,
2014,398438,MA Agarwal,Delhi Daredevils,16000000,1.6,,,,
2014,35565,MK Tiwary,Delhi Daredevils,28000000,2.8,,,,
2014,451947,Milind Kumar,Delhi Daredevils,1000000,0.1,,,,
2014,481896,Mohammed Shami,Delhi Daredevils,42500000,4.25,,,,
2014,261354,NM Coulter-Nile,Delhi Daredevils,42500000,4.25,,,,
2014,379143,Q de Kock,Delhi Daredevils,35000000,3.5,,,,
2014,272994,R Sharma,Delhi Daredevils,19000000,1.9,,,,
2014,390547,R Shukla,Delhi Daredevils,4000000,0.4,,,,
2014,326017,S Kaul,Delhi Daredevils,4500000,0.45,,,,
2014,31872,S Nadeem,Delhi Daredevils,8500000,0.85,,,,
2014,35390,SS Tiwary,Delhi Daredevils,7000000,0.7,,,,
2014,265564,WD Parnell,Delhi Daredevils,10000000,1.0,,,,
2014,554691,AR Patel,Kings XI Punjab,7500000,0.75,,,,
2014,376324,Anureet Singh,Kings XI Punjab,2000000,0.2,,,,
2014,379927,BE Hendricks,Kings XI Punjab,18000000,1.8,,,,
2014,32540,CA Pujara,Kings XI Punjab,19000000,1.9,,,,
2014,321777,DA Miller,Kings XI Punjab,,,,,,
2014,4451,GJ Bailey,Kings XI Punjab,32500000,3.25,,,,
2014,325026,GJ Maxwell,Kings XI Punjab,60000000,6.0,,,,
2014,537124,Gurkeerat Singh,Kings XI Punjab,13000000,1.3,,,,
2014,322535,Karanveer Singh,Kings XI Punjab,1000000,0.1,,,,
2014,26829,L Balaji,Kings XI Punjab,18000000,1.8,,,,
2014,30049,M Kartik,Kings XI Punjab,10000000,1.0,,,,
2014,532856,M Vohra,Kings XI Punjab,,,,,,
2014,6033,MG Johnson,Kings XI Punjab,65000000,6.5,,,,
2014,398506,Mandeep Singh,Kings XI Punjab,8000000,0.8,,,,
2014,233514,NLTC Perera,Kings XI Punjab,16000000,1.6,,,,
2014,323131,P Awana,Kings XI Punjab,6500000,0.65,,,,
2014,290727,R Dhawan,Kings XI Punjab,30000000,3.0,,,,
2014,6683,SE Marsh,Kings XI Punjab,22000000,2.2,,,,
2014,475281,SN Thakur,Kings XI Punjab,2000000,0.2,,,,
2014,438362,Sandeep Sharma (1),Kings XI Punjab,8500000,0.85,,,,
2014,717201,Shivam Sharma,Kings XI Punjab,1000000,0.1,,,,
2014,35263,V Sehwag,Kings XI Punjab,32000000,3.2,,,,
